,Unnamed: 0,First,Second,Count
7735,7735,увредено,състояние,15
7736,7736,със,стягане,15
7737,7737,фамилно,необременена,15
7738,7738,и,сърбеж,15
7739,7739,долу,в,15
7740,7740,без,секреция,15
7741,7741,консултативен,преглед,15
7742,7742,за,рецидив,15
7743,7743,проба,за,15
7744,7744,химиотерапия,и,15
7745,7745,С,ограничени,15
7746,7746,език,необложен,15
7747,7747,нормална,форма,15
7748,7748,явява,се,15
7749,7749,десен,горен,15
7750,7750,малки,и,15
7751,7751,вдясно,на,15
7752,7752,в,менопауза,15
7755,7755,глезените,и,15
7756,7756,с,терапия,15
7757,7757,с,неправилна,15
7758,7758,в,движенията,15
7759,7759,при,умерени,15
7760,7760,СПЕЦ.СТАТУС,липсват,15
7761,7761,ШИЯ,С,15
7769,7769,синдром,хипестезия,15
7770,7770,б.о,С,15
7771,7771,предимно,в,15
7772,7772,РСД,фреквенция,15
7775,7775,добре,развит,15
7777,7777,състояние,задоволително,15
7780,7780,тонус,в,15
7781,7781,ритъм,нормална,15
7783,7783,неболезнен,позволяващ,15
7787,7787,В,ОСНОВИТЕ,15
7788,7788,С,УДЪЛЖЕНО,15
7790,7790,усет,в,15
7792,7792,урина,б.о,15
7793,7793,отоци,леко,15
7797,7797,и,пръсти,15
7800,7800,при,прегледа,15
7801,7801,от,сухи,15
7802,7802,принудително,положение,15
7804,7804,в,леви,15
7805,7805,от,групата,15
7806,7806,групата,на,15
7807,7807,контактна,ориентирана,15
7808,7808,силно,ограничени,15
7809,7809,жива,перисталтика,15
7810,7810,едри,и,15
7811,7811,палпаторна,и,15
7813,7813,намалена,за,15
7814,7814,визус,ок,15
7815,7815,очни,симптоми,15
7820,7820,по,изразено,15
7824,7824,при,пробата,15
7833,7833,експириум,единични,15
7836,7836,деформация,в,15
7837,7837,ОПОРНО-ДВИГ.АПАРАТ,артрозно,15
7838,7838,с,околните,15
7839,7839,в,долния,15
7841,7841,оперативно,отстранени,15
7843,7843,указание,за,15
7848,7848,с,крепитации,15
7849,7849,с,варици,15
7853,7853,скъсен,перкуторен,15
7854,7854,конфигурация,и,15
7855,7855,видими,отклонения,15
7857,7857,ЕЗИК,ВЛАЖЕН,15
7858,7858,С-МА,няма,15
7862,7862,ДЕЙНОСТ,ТОНОВЕ,15
7864,7864,цикатрикс,без,15
7867,7867,с,еднакво,15
7868,7868,дишането,дишания,15
7873,7873,прекордиума,няма,15
7874,7874,няма,РСД,15
7878,7878,БОЛКА,ПО,15
7881,7881,статус,леко,15
7882,7882,оточни,тонзили,15
7885,7885,ТЕГЛО,КГ,15
7888,7888,хиперемия,в,15
7889,7889,еднаква,продължителност,15
7890,7890,продължителност,и,15
7891,7891,областта,над,15
7899,7899,ЧМН,хоризонтален,15
7901,7901,оточен,и,15
7903,7903,легнало,пол,15
7905,7905,отпадни,явления,15
7906,7906,ОЧЕН,СТАТУС,15
7909,7909,болезнен,палпаторно,15
7910,7910,симптоми,на,15
7911,7911,зачервени,и,15
7914,7914,тонзили,с,15
7915,7915,ДРОБ,ОТСЛАБЕНО,15
7917,7917,ДРОБ,СЪРЦЕ,15
7919,7919,РИТМИЧНА,ПУЛС,15
7920,7920,спокоен,респираторно,15
7922,7922,и,органи,15
7923,7923,отслабени,коремни,15
7929,7929,от,десностранна,15
7930,7930,съхранена,сетивност,15
7931,7931,СНР,оживени,15
7935,7935,статус,от,15
7937,7937,над,градуса,15
7943,7943,крайници,запазена,15
7947,7947,магистралните,съдове,15
7948,7948,на,бобено,15
7950,7950,ДЪГА,ОПОРНО-ДВИГ.АПАРАТ,15
7951,7951,СТАТУС,БЕЗ,15
7952,7952,се,откриват,15
7962,7962,съдове,запазени,15
7963,7963,квадрант,се,15
7964,7964,ТУ,формации,15
7966,7966,за,екзофталм,15
7969,7969,дишането,ясен,15
7970,7970,ИТМ,СС,15
7973,7973,лезия,с,15
7975,7975,дейност,у,15
7976,7976,НА,А,15
7977,7977,места,на,15
7980,7980,в,и,15
7984,7984,палпират,туморни,15
7985,7985,ние,психически,15
7988,7988,палпаторно,болезненост,15
7991,7991,СИМЕТРИЧНИ,БЕЗ,15
7992,7992,БЕЗ,ТУ,15
7996,7996,за,дълбока,15
7998,7998,БОЛЕЗНЕНИ,ДВИЖЕНИЯ,15
8001,8001,С,ГОЛЕМИНА,15
8003,8003,бил,уроб,15
8004,8004,лява,бел,15
8005,8005,отклонения,без,15
8006,8006,статус,корем,15
8007,8007,ОДА,претибиални,15
8017,8017,шумове,ритмична,15
8023,8023,КОЖА,суха,15
8027,8027,апарат,в,15
8032,8032,удара,за,15
8034,8034,ЖЛЕЗА,НЕ,15
8035,8035,СЛУХ,В,15
8038,8038,дейност,систоличен,15
8045,8045,лимфен,застой,15
8048,8048,тонове,и,15
8050,8050,палпират,ту,15
8052,8052,отоци,ограничени,15
8053,8053,увеличена,щитовидна,15
8056,8056,зачервена,и,15
8062,8062,жлеза,нормално,15
8063,8063,възли,неболезнени,15
8065,8065,хрипове,СД,15
8067,8067,пулс,и,15
8068,8068,жлези,левостранна,15
8069,8069,псих.статус,норма,15
8074,8074,пулсации,с,15
8075,8075,жлеза,неболезнена,15
8076,8076,СД,честота,15
8078,8078,еластични,коремни,15
8080,8080,и,перкусия,15
8084,8084,видимо,разширени,15
8091,8091,и,запазени,15
8094,8094,двустранно,по,15
8101,8101,чести,екстрасистоли,15
8105,8105,колянната,става,15
8106,8106,СПЕЦ.СТАТУС,няма,15
8108,8108,розови,ДО,15
8109,8109,ШИЯ,прав,15
8110,8110,подвижност,двустранно,15
8111,8111,СТАТУС,ориентирана,15
8114,8114,с,реполаризационни,15
8122,8122,граница,на,15
8131,8131,сет,дефицит,15
8132,8132,сет,на,15
8139,8139,с-е,обезитас,15
8140,8140,спокоен,при,15
8147,8147,глюкоза,кетонни,15
8148,8148,сонорен,пер,15
8152,8152,мургава,вид,15
8156,8156,о.с,цветоусещане,15
8180,8180,норма,СР,15
8182,8182,ОПОРНО-ДВИГ.АПАРАТ,костна,15
8186,8186,отвличане,на,15
8187,8187,на,вниманието,15
8188,8188,вниманието,изчезва,15
8190,8190,самоизследване,ГИНЕКОЛОГ,15
8191,8191,вени,нормално,15
8201,8201,на,слуха,14
8202,8202,има,болки,14
8203,8203,съпругата,му,14
8204,8204,кръста,с,14
8206,8206,оперативна,намеса,14
8208,8208,походка,и,14
8209,8209,за,операция,14
8211,8211,от,уролог,14
8213,8213,на,профилактичен,14
8214,8214,уриниране,и,14
8215,8215,по,лява,14
8216,8216,уриниране,с,14
8217,8217,сърдечна,недостатъчност,14
8219,8219,е,силно,14
8220,8220,С,оплакване,14
8223,8223,дразнеща,кашлица,14
8226,8226,курс,на,14
8228,8228,пристягане,в,14
8229,8229,на,долната,14
8231,8231,чува,добре,14
8232,8232,лявата,част,14
8233,8233,носи,очила,14
8234,8234,в,болница,14
8236,8236,на,моменти,14
8237,8237,на,ставите,14
8239,8239,идва,на,14
8242,8242,от,обща,14
8243,8243,обективното,състояние,14
8244,8244,повишена,температура,14
8245,8245,за,нова,14
8246,8246,лекарства,по,14
8248,8248,цвят,на,14
8250,8250,във,врата,14
8252,8252,хипертония,с,14
8253,8253,ръце,и,14
8254,8254,на,панкреаса,14
8256,8256,лицева,половина,14
8257,8257,по,сила,14
8259,8259,двете,гърди,14
8261,8261,ТБС,и,14
8264,8264,дясната,буза,14
8265,8265,ляв,глезен,14
8266,8266,поява,на,14
8269,8269,със,затлъстяване,14
8270,8270,обрив,с,14
8271,8271,неправилна,форма,14
8272,8272,ограничение,в,14
8275,8275,главоболие,придружено,14
8276,8276,на,съпруга,14
8277,8277,по,дясна,14
8281,8281,с,разнокалибрени,14
8283,8283,нормална,големина,14
8286,8286,силно,изразени,14
8288,8288,без,периферни,14
8293,8293,ляво,ССС,14
8294,8294,ориентирана,критична,14
8297,8297,б.о,ЛВ,14
8302,8302,двигателни,функции,14
8309,8309,дишане,пръснати,14
8311,8311,влажни,дребни,14
8312,8312,долен,клепач,14
8313,8313,собствена,корекция,14
8315,8315,ОПОРНО-ДВИГ.АПАРАТ,не,14
8317,8317,бяла,ГЛАВА,14
8318,8318,лапаротомия,и,14
8319,8319,патологични,уплътнения,14
8322,8322,хрипове,нормална,14
8323,8323,състояние,гърло,14
8324,8324,оточно,и,14
8328,8328,и,деформация,14
8329,8329,няма,отпадна,14
8333,8333,палпаторно,леко,14
8334,8334,единични,свиркащи,14
8336,8336,слухов,канал,14
8338,8338,стави,без,14
8339,8339,от,дясна,14
8341,8341,основа,с,14
8344,8344,централен,тип,14
8346,8346,с,ограничена,14
8347,8347,болезнен,запазена,14
8348,8348,артритни,промени,14
8350,8350,мек,слабо,14
8352,8352,СТАТУС,адекватна,14
8353,8353,промени,указание,14
8354,8354,за,самообучение,14
8355,8355,запазени,активни,14
8357,8357,КОРЕМ,меки,14
8359,8359,консистенция,ЛИМФНИ,14
8360,8360,орех,в,14
8361,8361,на,дланите,14
8362,8362,очна,симптоматика,14
8363,8363,отоци,затруднени,14
8364,8364,в,гръбнака,14
8371,8371,десните,крайници,14
8374,8374,рецептите,се,14
8375,8375,ДРЕБНИ,ВЛАЖНИ,14
8377,8377,без,дол,14
8381,8381,запазени,симетрични,14
8387,8387,В,б.о,14
8388,8388,намален,вибрационен,14
8390,8390,б.о,намалена,14
8391,8391,намалена,дълбока,14
8392,8392,бучка,с,14
8393,8393,зърно,с,14
8394,8394,веднага,след,14
8404,8404,се,визуализира,14
8406,8406,подвижност,чисто,14
8409,8409,рефлекси,смутени,14
8411,8411,хемихипестезия,по,14
8412,8412,варици,запазени,14
8413,8413,статус,хипестезия,14
8414,8414,стъпало,б.о,14
8415,8415,микционни,смущения,14
8420,8420,СНР,и,14
8421,8421,болезнени,коленни,14
8422,8422,с,претибиални,14
8425,8425,е,леко,14
8428,8428,без,хиперемия,14
8429,8429,ОДА,активни,14
8430,8430,обем,в,14
8431,8431,запазен,долавя,14
8432,8432,за,горни,14
8441,8441,и,варикозни,14
8442,8442,СПЕЦ.СТАТУС,ОТОЦИ,14
8443,8443,оперативен,цикатрикс-спокоен,14
8446,8446,острота,ВОД,14
8447,8447,с,мек,14
8456,8456,чува,шепот,14
8457,8457,корем,палпаторна,14
8460,8460,отоци,ЧМН,14
8462,8462,уплътнения,и,14
8467,8467,за,ляв,14
8471,8471,лява,буза,14
8476,8476,на,пети,14
8478,8478,СЛУХ,ЗАПАЗЕН,14
8479,8479,ЗАПАЗЕН,ЗРЕНИЕ,14
8480,8480,при,движения,14
8483,8483,намалена,повърхностна,14
8486,8486,белодробен,тон,14
8491,8491,функции,б.о,14
8492,8492,с,цикатрикс,14
8495,8495,след,левостранна,14
8499,8499,проба,в,14
8502,8502,поясните,прешлени,14
8503,8503,в,орбитите,14
8507,8507,стени,запазена,14
8509,8509,без,ОНС,14
8523,8523,ВЕНИ,няма,14
8527,8527,ПАТОЛОГИЧНИ,ШУМОВЕ,14
8531,8531,отоци,ЛВ,14
8532,8532,двустранно,ЛВ,14
8533,8533,момента,в,14
8536,8536,С,УДЪЛЖЕН,14
8537,8537,гръдни,жлези,14
8541,8541,видими,разширени,14
8550,8550,променена,кожа,14
8565,8565,след,ампутация,14
8574,8574,и,повърхностна,14
8576,8576,ОГРАНИЧЕНИ,ДВИЖЕНИЯ,14
8580,8580,в,бел,14
8581,8581,палпира,ОДА,14
8585,8585,глава,и-шия,14
8589,8589,ЧМН,без-пат-лезии,14
8590,8590,описаната,област,14
8591,8591,цикатрикс,ОДА,14
8593,8593,крайници,подвижни,14
8594,8594,нееднородна,структура,14
8596,8596,и,придружител,14
8597,8597,дробове,изострено,14
8601,8601,ЛЕКИ,ОТОЦИ,14
8610,8610,телесна,маса,14
8611,8611,бледорозова,ГЛАВА,14
8612,8612,изострено,в,14
8614,8614,двустранно,се,14
8615,8615,статус,ритмична,14
8617,8617,външен,вид,14
8620,8620,неболезнена,неувеличена,14
8622,8622,на,тремор,14
8623,8623,СНР,симетрични,14
8635,8635,нормална,кожа,14
8636,8636,шия,щит,14
8650,8650,непроменена,палпаторно,14
8653,8653,о,с-е,14
8656,8656,отслабени,по,14
8657,8657,кол,става,14
8665,8665,пулсации,снижени,14
8666,8666,снижени,рефлекси,14
8670,8670,от,и,14
8682,8682,чести,ех,14
8683,8683,КРАЙНИЦИ,ОТОК,14
8687,8687,ШИЯ,намален,14
8688,8688,при,отвличане,14
8692,8692,),визус,14
8693,8693,с,добро,14
8694,8694,добро,интелектуално,14
8695,8695,интелектуално,развитие,14
8704,8704,необложен,ПМТ,14
8708,8708,ИТМ,нормално,14
8709,8709,б.о,БМИ,14
8715,8715,вредни,навици,13
8716,8716,КАТ,на,13
8717,8717,двете,ходила,13
8718,8718,и,лесно,13
8720,8720,СА,НА,13
8721,8721,и,химиотерапия,13
8722,8722,дълги,години,13
8723,8723,момента,се,13
8724,8724,на,пациентката,13
8725,8725,със,специалист,13
8726,8726,съществени,субективни,13
8729,8729,хрема,кашлица,13
8730,8730,след,оперативна,13
8731,8731,дясна,длан,13
8732,8732,от,силна,13
8733,8733,амбулаторно,лечение,13
8734,8734,силно,изразен,13
8735,8735,ирадиация,по,13
8736,8736,без,особен,13
8737,8737,област,при,13
8738,8738,умора,и,13
8741,8741,тъпи,болки,13
8746,8746,на,ануса,13
8747,8747,месеца,с,13
8749,8749,отстраняване,на,13
8751,8751,бодежи,в,13
8753,8753,корема,с,13
8754,8754,ДЯСНО,ПОДРЕБРИЕ,13
8755,8755,физическо,натоварване,13
8756,8756,на,ребрата,13
8757,8757,ПРОМЯНА,В,13
8758,8758,колкото,грахово,13
8759,8759,БЕЗ,ОПЛАКВАНИЯ,13
8760,8760,фрактура,на,13
8761,8761,на,същата,13
8763,8763,консултация,и,13
8764,8764,гинекологични,оплаквания,13
8767,8767,хипертония,и,13
8768,8768,мозъчен,инсулт,13
8769,8769,видимо,спокойна,13
8770,8770,менопауза,от,13
8771,8771,сърцебиене,при,13
8772,8772,при,минимални,13
8773,8773,на,поддържаща,13
8774,8774,гърда,и,13
8776,8776,чувство,на,13
8778,8778,за,пореден,13
8779,8779,и,повръщане,13
8780,8780,вижда,добре,13
8781,8781,гърдите,и,13
8783,8783,проследяване,на,13
8784,8784,за,АХ,13
8786,8786,корема,гадене,13
8787,8787,на,конюнктивата,13
8788,8788,с,оплакване,13
8789,8789,част,от,13
8790,8790,по,задната,13
8791,8791,става,ограничени,13
8792,8792,хемипареза,в,13
8794,8794,умора,задух,13
8795,8795,на,и,13
8796,8796,катаракта,на,13
8797,8797,с,тремор,13
8798,8798,парциална,резекция,13
8799,8799,стена,на,13
8801,8801,ленти,за,13
8802,8802,в,шията,13
8804,8804,повече,вляво,13
8805,8805,към,ЛКК,13
8806,8806,и,левия,13
8808,8808,намаление,на,13
8809,8809,ХБН,и,13
8810,8810,отговарящо,на,13
8811,8811,в,дома,13
8812,8812,повече,за,13
8813,8813,крайници,наличие,13
8814,8814,след,резекция,13
8817,8817,терапия,уточнена,13
8819,8819,двата,крайника,13
8820,8820,на,горния,13
8822,8822,за,рискови,13
8823,8823,фактори,минали,13
8824,8824,и,и,13
8827,8827,оток,зачервяване,13
8828,8828,дясната,подбедрица,13
8829,8829,неболезнено,при,13
8831,8831,ШИЯ,с,13
8832,8832,КОЖА,нормален,13
8833,8833,нормален,цвят,13
8834,8834,ЗРЕНИЕ,визус,13
8835,8835,вени,няма,13
8837,8837,хиперемирано,с,13
8840,8840,запазена,полиневритен,13
8843,8843,с,неравни,13
8847,8847,реч,над,13
8850,8850,коремна,област,13
8851,8851,артериите,на,13
8852,8852,позволява,дълбока,13
8853,8853,лигавици,без,13
8854,8854,слух,двустранно,13
8857,8857,СЪС,СУХИ,13
8859,8859,И,ЛИГАВИЦИ,13
8865,8865,ДПНП,СНР,13
8866,8866,двете,половини,13
8867,8867,зачервена,кожа,13
8871,8871,налични,пулсации,13
8872,8872,КОЖА,бяла,13
8873,8873,дишане,до,13
8876,8876,кош,хиперсонорен,13
8877,8877,изменения,на,13
8880,8880,СЛЕЗКА,без,13
8881,8881,б.о,ГИНЕКОЛОГ,13
8882,8882,и,оточно,13
8884,8884,болезнена,и,13
8885,8885,болезнени,пасивни,13
8886,8886,СНР,за,13
8887,8887,дишане,влажни,13
8890,8890,СНР,леко,13
8893,8893,вени,спокойни,13
8899,8899,движения,с,13
8900,8900,слух,на,13
8902,8902,нормофреквентна,тонове,13
8903,8903,и,прибавени,13
8904,8904,кожа,с,13
8906,8906,двустранно,единични,13
8908,8908,визус,за,13
8909,8909,ляво,субскапуларно,13
8911,8911,редуцирана,подкожна,13
8913,8913,меко-еластична,консистенция,13
8923,8923,кош,черен,13
8926,8926,СПЕЦ.СТАТУС,не,13
8928,8928,крайници,леко,13
8930,8930,жлези,корем,13
8931,8931,нервно,психичен,13
8932,8932,СД,глухи,13
8933,8933,ССС,рит,13
8937,8937,лигавици,мургави,13
8938,8938,по,корема,13
8941,8941,статус,адекватна,13
8942,8942,б.о,оперативен,13
8943,8943,микционни,оплаквания,13
8944,8944,дясна,мишница,13
8946,8946,СЛУХ,нормален,13
8947,8947,СЛУХ,над,13
8948,8948,над,метра,13
8951,8951,палпаторно,неболезнени,13
8952,8952,с,изразен,13
8957,8957,без,гнойни,13
8960,8960,поглед,на,13
8963,8963,след,изправяне,13
8964,8964,изправяне,на,13
8970,8970,СИН,РИТЪМ,13
8972,8972,отслабени,в,13
8974,8974,изразен,вертебрален,13
8975,8975,в,диаметър,13
8977,8977,жлези,палпаторно,13
8978,8978,БЕЗ,ОТПАДНА,13
8979,8979,С,НОРМАЛНА,13
8980,8980,(,нормално,13
8982,8982,лумбален,дял,13
8983,8983,за,венозен,13
8985,8985,обиколка,на,13
8988,8988,интелект,в,13
8990,8990,КОЖА,и,13
8992,8992,грубо,ВД,13
8995,8995,уретер,и,13
8998,8998,б.о,урина,13
8999,8999,тип,хипестезия,13
9000,9000,ляво,по,13
9005,9005,отоци,варикозни,13
9007,9007,повече,вдясно,13
9008,9008,носна,лигавица,13
9012,9012,дейност,единични,13
9014,9014,пулсации,корем,13
9015,9015,цвят,и,13
9018,9018,ХСМ,крайници,13
9019,9019,термо,и,13
9023,9023,спокоен,цикатрикс,13
9028,9028,варици,и,13
9030,9030,консистенция,възли,13
9031,9031,възел,с,13
9035,9035,без,артрозни,13
9039,9039,лимфедем,на,13
9040,9040,ЛИГАВИЦИ,БЛЕДО,13
9041,9041,БЛЕДО,РОЗОВИ,13
9042,9042,с,ма,13
9043,9043,отоци,БМИ,13
9044,9044,мека,еластична,13
9045,9045,жлези,симетрични,13
9046,9046,централен,фациалис,13
9047,9047,РИТМИЧНА,НОРМОФРЕКВЕНТНА,13
9051,9051,на,външния,13
9055,9055,без,рани,13
9057,9057,ползва,очила,13
9059,9059,по,силно,13
9064,9064,ОГРАНИЧЕНИ,И,13
9065,9065,ЛИГАВИЦИ,БЛЕДИ,13
9066,9066,ПЛВ,НЕ,13
9067,9067,КОРЕМ,БЕЗ,13
9074,9074,съществени,отклонения,13
9076,9076,вез.дишане,в,13
9079,9079,с,проведени,13
9080,9080,суха,кожа,13
9082,9082,по,органичен,13
9084,9084,абдоминална,херния,13
9085,9085,болезнени,точки,13
9088,9088,по,тях,13
9089,9089,разговорна,реч,13
9094,9094,прибавена,шумова,13
9095,9095,ДС,вез.дишане,13
9100,9100,ГЪРЛО,леко,13
9101,9101,(,затлъстяване,13
9104,9104,ПЕРИФЕРЕН,ЗАСТОЙ,13
9105,9105,ПО,КРАКАТА,13
9109,9109,зона,наляво,13
9110,9110,нормални,без,13
9115,9115,ВРЕМЕ,МЯСТО,13
9116,9116,шепот,от,13
9117,9117,липсват,патологични,13
9118,9118,налепи,по,13
9119,9119,добри,периферни,13
9121,9121,квадрантектомия,на,13
9123,9123,без,физикални,13
9124,9124,запазена,нормални,13
9127,9127,и,венозен,13
9131,9131,хипестезия,и,13
9133,9133,с,глуховати,13
9134,9134,ритъм,ЛПХБ,13
9135,9135,с,камертон,13
9139,9139,от,съпруга,13
9142,9142,доловими,шумове,13
9144,9144,жлези,ОДА,13
9147,9147,КОРЕМ,НЕБОЛЕЗНЕН,13
9148,9148,КОРЕМ,БОЛЕЗНЕН,13
9151,9151,бел,половина,13
9153,9153,лента,протеин,13
9159,9159,тип,урина,13
9162,9162,статус,ар,13
9167,9167,цялост,на,13
9168,9168,находка,с,13
9171,9171,на,леви,13
9172,9172,ГЪРЛО,БЯЛ,13
9175,9175,нормофреквентна,с.,13
9176,9176,ДС,грубо,13
9184,9184,аднекси,б.о,13
9185,9185,лигав,б.о,13
9187,9187,ел,стени,13
9191,9191,с,дифузна,13
9192,9192,вид.лигавици,розови,13
9194,9194,застой,ОДА,13
9197,9197,след,корекция,13
9201,9201,ДРОБ,Ч.В.Д,13
9202,9202,промени,от,13
9204,9204,стабилен,без,13
9205,9205,шепот,и,13
9207,9207,и-шия,в-норма,13
9214,9214,СНР,декстра,13
9215,9215,средна,лапаротомия,13
9216,9216,висцери,неувеличени,13
9217,9217,и,променена,13
9218,9218,ритмична,тонове,13
9223,9223,спокоен,липсва,13
9224,9224,средната,линия,13
9226,9226,намалено,за,13
9229,9229,СНР,снижени,13
9230,9230,чист,ГЪРЛО,13
9234,9234,се,формации,13
9236,9236,застой,СЪРЦЕ,13
9240,9240,безболезнен,без,13
9241,9241,след,лапаротомия,13
9249,9249,отклонения,ПСИХИЧЕСКИ,13
9251,9251,функционира,нормално,13
9257,9257,дейност,чести,13
9261,9261,пети,и,13
9272,9272,отслабени,сух,13
9275,9275,неболезнен,слезка,13
9276,9276,за,протеин,13
9282,9282,ритмична,правилна,13
9288,9288,и,в.,13
9293,9293,обезитас,с,13
9294,9294,спокойни,места,13
9295,9295,на,убождане,13
9296,9296,убождане,намалена,13
9304,9304,след,частична,13
9307,9307,тонове,крайници,13
9308,9308,личност,),13
9309,9309,),Ч.М.Н,13
9313,9313,движенията,),13
9316,9316,крайници,),13
9323,9323,МРД,изпълнява,13
9324,9324,изпълнява,позите,13
9327,9327,контролира,запазени,13
9329,9329,по-малко,от,13
9332,9332,отоци-слабо,изразени,13
9335,9335,състояние,нормална,13
9336,9336,патология,ССС,13
9346,9346,процес,в,12
9347,9347,малък,таз,12
9348,9348,опериран,за,12
9349,9349,на,катаракта,12
9350,9350,устната,кухина,12
9352,9352,с,ортопед,12
9353,9353,позиви,за,12
9354,9354,ориентация,за,12
9355,9355,усилия,и,12
9356,9356,придружено,с,12
9357,9357,на,медикаменти,12
9360,9360,от,карцином,12
9362,9362,редовна,терапия,12
9364,9364,от,хирург,12
9365,9365,смяна,на,12
9366,9366,преглед,по,12
9367,9367,и,от,12
9368,9368,дроб,се,12
9369,9369,метастази,в,12
9370,9370,аденом,на,12
9372,9372,на,черен,12
9373,9373,и,леко,12
9374,9374,скенер,на,12
9376,9376,на,кости,12
9377,9377,години,оперирана,12
9379,9379,по,искане,12
9380,9380,ЗА,ХОСПИТАЛИЗАЦИЯ,12
9381,9381,операция,за,12
9382,9382,от,месец,12
9383,9383,задух,при,12
9384,9384,отпадналост,лесна,12
9385,9385,по,пръстите,12
9386,9386,тежко,общо,12
9387,9387,нощно,време,12
9388,9388,насочена,към,12
9389,9389,уплътнение,на,12
9391,9391,долната,устна,12
9392,9392,нарушено,зрение,12
9394,9394,проведено,оперативно,12
9395,9395,долна,устна,12
9398,9398,климакс,от,12
9399,9399,и,корема,12
9400,9400,обремененост,за,12
9401,9401,други,оплаквания,12
9402,9402,година,е,12
9403,9403,налягане,и,12
9404,9404,с,двете,12
9405,9405,са,с,12
9407,9407,на,долния,12
9408,9408,НАМАЛЕНО,ЗРЕНИЕ,12
9409,9409,към,момента,12
9410,9410,дланите,и,12
9413,9413,подготовка,за,12
9414,9414,жена,на,12
9415,9415,гнойна,колекция,12
9416,9416,на,оперативната,12
9417,9417,особено,в,12
9418,9418,планувана,за,12
9419,9419,и,възпаление,12
9420,9420,дясната,половина,12
9421,9421,с,последваща,12
9423,9423,спешност,в,12
9425,9425,регионални,лимфни,12
9426,9426,без,видима,12
9427,9427,дегенеративни,промени,12
9428,9428,полови,органи,12
9429,9429,дрезгав,глас,12
9430,9430,степен,по,12
9431,9431,с,гнойни,12
9433,9433,лявата,половина,12
9434,9434,възпалителен,процес,12
9435,9435,невъзможност,за,12
9436,9436,изследване,и,12
9438,9438,без,туморни,12
9439,9439,болка,с,12
9441,9441,кош,и,12
9442,9442,за,болнично,12
9443,9443,с,придружител,12
9444,9444,се,редовно,12
9445,9445,се,обслужва,12
9446,9446,горен,клепач,12
9447,9447,терапия,след,12
9448,9448,подбедрица,и,12
9451,9451,гърда,по,12
9453,9453,бучка,в,12
9454,9454,поради,болка,12
9456,9456,отклонение,в,12
9457,9457,по,изразена,12
9458,9458,лявото,бедро,12
9459,9459,влошаване,на,12
9461,9461,обичайни,физически,12
9464,9464,терапия,за,12
9465,9465,слабост,на,12
9466,9466,долни,крайника,12
9468,9468,обрив,на,12
9469,9469,специалист,при,12
9470,9470,при,който,12
9471,9471,който,пациента,12
9472,9472,пациента,се,12
9475,9475,палпира,формация,12
9476,9476,крайник,с,12
9477,9477,лекарства,на,12
9478,9478,в,в,12
9479,9479,рани,по,12
9480,9480,ЛЯВА,РЪКА,12
9482,9482,болка,оток,12
9483,9483,по,малко,12
9484,9484,обриви,по,12
9485,9485,двустранно,удължено,12
9487,9487,и,а.,12
9489,9489,двигателна,активност,12
9490,9490,открита,рана,12
9491,9491,място,на,12
9492,9492,мек,еластични,12
9493,9493,видими,деформации,12
9494,9494,без,смущения,12
9495,9495,розови,гърло,12
9496,9496,рана,от,12
9500,9500,двустранно,дребни,12
9502,9502,възрастта,цветоусещане,12
9513,9513,тонове,запазени,12
9518,9518,напълнен,с,12
9519,9519,колкото,лешник,12
9521,9521,лек,систоличен,12
9523,9523,ВЕЗ.ДИШАНЕ,БЕЗ,12
9524,9524,СТАТУС,В,12
9525,9525,ЛЯВА,ГЪРДА,12
9527,9527,чиста,с,12
9533,9533,разширени,периферни,12
9535,9535,отоци,палпаторна,12
9538,9538,и,скорост,12
9541,9541,оцветка,ГЛАВА,12
9545,9545,корем,палпаторно,12
9548,9548,ГЪРЛО,хиперемирано,12
9552,9552,суховат,обложен,12
9553,9553,за,възпаление,12
9555,9555,обилие,от,12
9556,9556,СПЕЦ.СТАТУС,от,12
9557,9557,лява,б.о,12
9558,9558,храносмилателна,с-ма,12
9559,9559,лакътна,става,12
9560,9560,увеличени,и,12
9561,9561,В,леко,12
9562,9562,в,същите,12
9567,9567,с,околната,12
9571,9571,леко,болезнена,12
9572,9572,взимат,еднакво,12
9578,9578,б.о,и,12
9583,9583,на,разтягане,12
9584,9584,аритмия,при,12
9585,9585,и,глезенни,12
9586,9586,и,ограничен,12
9587,9587,реч,на,12
9588,9588,кош,отслабено,12
9589,9589,розови,кожа,12
9591,9591,на,оток,12
9592,9592,тежки,артрозни,12
9594,9594,ССС,пулс,12
9595,9595,чисти,сърдечни,12
9597,9597,тонове,в,12
9602,9602,движения,по,12
9607,9607,хиперемирано,без,12
9609,9609,запазена,дълбока,12
9611,9611,и,нормална,12
9612,9612,на,патологични,12
9613,9613,на,палпаторна,12
9615,9615,норма,ЗРЕНИЕ,12
9619,9619,без,белези,12
9620,9620,ГРЪДЕН,КОШ,12
9622,9622,с,различна,12
9623,9623,пулсации,хипестезия,12
9624,9624,ДРОБ,СИМЕТРИЧЕН,12
9627,9627,статус,тотална,12
9628,9628,единични,едри,12
9630,9630,единични,хрипове,12
9631,9631,с,постоперативен,12
9635,9635,дейност,СПЕЦ.СТАТУС,12
9638,9638,без,цианоза,12
9639,9639,постоперативен,белег,12
9640,9640,дребни,сухи,12
9641,9641,централна,лезия,12
9647,9647,дол,хрипове,12
