,First,Second
1087,общо,съст-е.Псих
1088,НА,НИВО
1089,неув.ч.дроб,и
1090,Норсмотеничен,хабитус
1091,да,ПКК-да
1092,на,маслина
1093,кр.без,отоци
1094,МЕК,НЕБОЛ
1095,BMI,ДС-норм
1096,ДС-норм,перкуторен
1097,преживян,антеросептален
1098,ТРЕТИ,ДИСПАНСЕРЕН
1099,на,еуритмия
1100,еуритмия,Т
1101,Ръст,NUM-см
1102,NUM-см,ЕКГ-синусов
1103,не,сапалпират
1104,Корем,мек.Сукусио
1105,мек.Сукусио,реналис
1106,ВКФ-б,О.
1107,ДС-отсл.вез.дишане,с
1108,за,ОДН.Неврологичен
1109,ОДН.Неврологичен,статус
1110,в,мом
1111,ТОНОВЕ-ЯСНИ.НОРМОФРЕКВЕНТНА,СЪРДЕЧНА
1112,ст,анамнестичо
1113,анамнестичо,б.о
1114,С.С.С-ритмична,сърдечна
1115,съвет,за
1116,се,палп.патолог
1117,et,cor-б
1118,cor-б,О.
1119,Добавени,тонове
1120,Симтом,на
1121,РОЗОВИ,ПОВЬРХНОСТНИ
1122,ПОВЬРХНОСТНИ,Л
1123,Л,ВЬЗЛИ
1124,ВЬЗЛИ,И
1125,БЕЗ,ДОБАВЕНА
1126,ДОБАВЕНА,ШУМОВА
1127,НОРМАЛНА,ПЕРИСТАЛТИКАСУК
1128,ПЕРИСТАЛТИКАСУК,РЕН
1129,НЕВР,СТ-НОРМАЛНИ
1130,СТ-НОРМАЛНИ,СУХОЖИЛНИ
1131,СИМЕТРИЧНА,ВИБРАЦИОННА
1132,ВИБРАЦИОННА,НОРМАЛНА
1133,НА,МЕГАЦИНИ
1134,МЕГАЦИНИ,ОТР
1135,ПРОМЯНА,ВИЗУС-НОРМАЛЕН
1136,Fr,NUM.min.корем
1137,NUM.min.корем,мек
1138,б.,о.Грьден
1139,о.Грьден,кош
1140,двуст,ранно
1141,ранно,КМСправино
1142,КМСправино,разв.периф
1143,Дишане-ритмично,нолмопноично
1144,нолмопноично,RR
1145,чисти-Афеб-NUM,С
1146,ясни-тонове,без-шум-находка
1147,без-шум-находка,RR
1148,Крайници,без-набел-отоци
1149,без-набел-отоци,зап-сетивност-и-периф
1150,кожа,и-вид-лиг-розови
1151,РСД,СЧ=
1152,ПАТ,ОТКЛ
1153,ОТКЛ,ПСИХ.СТАТУС
1154,на,социума
1155,социума,емоции
1156,Ао,тон.Пулс
1157,тон.Пулс,RR
1158,ОБЩО,СЪСТ.ПУЛМО
1159,р.с.д-ясни,тоонве
1160,Афебрилен,а.Пулмо
1161,ЗАДОВОЛ,ОБЩО
1162,дроб,симметричен
1163,симметричен,гр.кош
1164,разширени,рефлексогенни
1165,рефлексогенни,зони
1166,б.о,Сукусио-отр.Крайници
1167,Suc.renalis,НС-ясно
1168,съзн,Двиг.акт
1169,Двиг.акт,и
1170,и,сетивност-норм
1171,Двигат,акт
1172,без,шумове.RR
1173,ед,Ех.АН
1174,хиперстенен,хабитес
1175,хабитес,хабитус
1176,авто,ориентиранеа
1177,с,подожна
1178,подожна,фистула
1179,МОЖЕ,ДА
1180,разш,вени.П.Л.В.неувел
1181,Корем,палп.мек
1182,палп.мек,Крайници
1183,Suc.ren,EKГс
1184,б.о,Пихичен
1185,ах,р
1186,неувел,щт.жл
1187,VOD-NUM,VOL-NUM
1188,Чр.Др.и,Сл
1189,Пул,Мо
1190,Мо,чисто
1191,R.R,Деснострана
1192,Деснострана,нефректомия-оперативен
1193,нефректомия-оперативен,цикатрикс
1194,застойни,хпихове
1195,хпихове,Cor
1196,Акцентуиран,Ао-ІІ
1197,Ао-ІІ,RR
1198,реналис,Пастенацки
1199,Парализа,на
1200,крайници,AСS
1201,б.о,Муск.тонус
1202,откл.Крайници,без
1203,еластичност,отговарят
1204,отговарят,на
1205,АКЦЕТУИРАН,А
1206,А,ПРОТОСИСТОЛИЧЕН
1207,Cor,А.Р.С.Д
1208,А.Р.С.Д,R.R
1209,Хиперестезия,на
1210,палпират,Крайнициш
1211,Крайнициш,ез
1212,RR,puls
1213,),Пареза-няма
1214,Пареза-няма,пареза
1215,Пулс,р.р
1216,р.р,Крайници
1217,LDL,при
1218,тонус,Вегетативно
1219,Вегетативно,трофични
1220,се,измери
1221,измери,Корем
1222,ЛАТЕНТНИ,ПАРЕЗИ
1223,б.о,ПЛВ-бо
1224,магистрални,съдове-има
1225,съдове-има,ОДА
1226,в,основите.
1227,основите.,Cor
1228,на,дайсвителната
1229,сърд.честота-NUM,у
1230,СТАТУС,Б.О.ЗРЕНИЕ
1231,фр,мин.лява
1232,мин.лява,граница
1233,на,м.к.л
1234,м.к.л,ритмична
1235,и,NUM-ро
1236,NUM-ро,ляво
1237,б.о,Щит.жл.б.о
1238,на,грьдния
1239,грьдния,кош
1240,краката,Повече
1241,Повече,изразена
1242,безхрипове,Черен
1243,неболезнен,Сукусие
1244,ЗРЕНИЕ,VOU
1245,на,доли
1246,доли,крайници
1247,хр,дв.Cor-сърд
1248,дв.Cor-сърд,граници-норма
1249,мек,спок.Хепар
1250,спок.Хепар,ет
1251,ет,лиен-неув.SR
1252,лиен-неув.SR,дв
1253,на,a.d.pedis-запазен
1254,a.d.pedis-запазен,без
1255,б.о,ekg
1256,колоректален,карцином
1257,Профилактичен,преглед
1258,на,нервус
1259,на,миокарда
1260,менструален,цикъл
1261,зоната,на
1262,луксация,на
1263,на,деб.черво
1264,по,майчина
1265,майчина,линия
1266,на,червата
1267,Отпочва,се
1268,Кардиологично,отделение
1269,в,БДСМА
1270,Все,още
1271,Хипертония,от
1272,Наблюдава,се
1273,декларирам,че
1274,остава,на
1275,за,новозаписан
1276,Изписване,на
1277,ТЕР,СХЕМА
1278,на,лекарствените
1279,лекарствените,продукти
1280,Ингвинална,херния
1281,здравословно,състояние
1282,на,вените
1283,и,видимилигавици
1284,Белтък,отр
1285,БЕЗ,ВИСЦЕРОМЕГАЛИЯ
1286,нуевеличени,Пулмо
1287,б.о,Зр.острота
1288,общо,състяние
1289,без,отоци.
1290,лимф.възли,неув.Дих.с-ма
1291,неув.Дих.с-ма,везикуларно
1292,покрита,с
1293,дясно,подребриекрайници
1294,подребриекрайници,б.о
1295,по,дерматомен
1296,Цветоус,норм.ЕКГ
1297,захар,отр.кет
1298,отр.кет,тела
1299,Бронхиално,дишане
1300,след,изкашляне
1301,Гландуле,простате-увеличена
1302,надлежащата,кожа
1303,двустранно,сон.перк
1304,сон.перк,тон
1305,о.Психичен,статус
1306,контузна,рана
1307,Ст.локалис-болезненост,при
1308,СОМАТИЧЕН,СТАТУС
1309,за,съдебно
1310,съдебно,медицински
1311,слезкане,се
1312,пове.Cor,РСД
1313,вземащ,участие
1314,от,бюста
1315,бюста,акцентуиран
1316,на,г.кош
1317,г.кош,без
1318,д-ст,водена
1319,водена,от
1320,ОБЛАСТА,НА
1321,сук.реналис-отр,ПЛВ
1322,ГЛЮК,УРОБ
1323,УРОБ,КЕТОТЕЛА
1324,КЕТОТЕЛА,АН
1325,И,ПАСИВНИ
1326,ДС-ВЕЗИКУЛАРНО,ДИШАНЕ
1327,В,МИН.НЯМА
1328,МИН.НЯМА,ОТОЦИ
1329,соматичен,ст-б.о
1330,Ригидно,повишен
1331,Вътр.статус,б.о
1332,Дс-вез,дишане
1333,лява,гърдоа
1334,гърдоа,корем
1335,хълбочна,област
1336,Рs,м.ЕКГ-синусов
1337,м.ЕКГ-синусов,ритъм
1338,СЪРЦЕ,Р.С.Д.ЯСНИ
1339,Р.С.Д.ЯСНИ,СЪРДЕЧНИ
1340,гръбначно,изкривяване
1341,болезненсот,крайници
1342,патерица,намалена
1343,нервно-психическо,развитие
1344,в,ляво.Ч
1345,ляво.Ч,дроб
1346,Обуч.за,самоизсл
1347,и,вид.лигавици-бледороз.Глава
1348,вид.лигавици-бледороз.Глава,без
1349,сетивността,на
1350,и,автоориентиран
1351,без,пат.откл
1352,ш.,реч-до
1353,реч-до,м
1354,с-с-без,данни
1355,ПМТ.Глава,и
1356,ПЛВ-неув.Кожа,и
1357,хр,Кър
1358,Кър,РСД
1359,Останали,органи
1360,по-изразено,в
1361,черендробнеувеличен,succ.ren
1362,р.,норм.психично
1363,норм.психично,развитие
1364,Suc.ren,отр.Невр
1365,отр.Невр,статус
1366,неув.Млечни,жлези
1367,цветоусещане-в,норма
1368,RR,Л.Р
1369,страдащи,от
1370,пул,сации
1371,ВЛАЖНИ,ХРИП
1372,ХРИП,ИТМ
1373,ПОД,РЕБРЕНАДЪГА
1374,РЕБРЕНАДЪГА,УПЛЪТНЕН
1375,УПЛЪТНЕН,ПРЪСТА
1376,ПРЪСТА,КОЛАТЕРАЛНА
1377,КОЛАТЕРАЛНА,СЪДОВА
1378,РИГИДНОСТ,НАММ
1379,НАММ,В
1380,В,ЛУМБАЛ
1381,ЛУМБАЛ,НАТА
1382,НАТА,ОБ
1383,ОБ,ЛАСТ
1384,ЛАСТ,ПАЛ
1385,ПАЛ,ПАТО
1386,ПАТО,Р
1387,подв,мин.СД-ритмична
1388,мин.СД-ритмична,АН
1389,Hg.корем,мек
1390,чест,мин.пулс
1391,Моторна,афазия
1392,норм,перист.Сук
1393,перист.Сук,рен
1394,наб,отоци
1395,АНАЛИЗАТОРИ-В,НОРМА
1396,дроби,слезка
1397,дишане,Ритмично
1398,неувеличени,ПВ-без
1399,ПВ-без,изменения
1400,общо,сэстояние
1401,над,синфизата
1402,Краин-без,отоци
1403,RR,NUM.ПУЛС
1404,NUM.ПУЛС,мин
1405,VOD-NUM,Цветоусещане-норм.и
1406,Цветоусещане-норм.и,слух
1407,Корем,мекоеластичен
1408,удължено,издишане
1409,и,видили
1410,видили,лигавици
1411,дейност,ум.RR
1412,ум.RR,Корем
1413,отр,гл.отр
1414,гл.отр,р
1415,Очни,дъна-ретинопатия
1416,дъна-ретинопатия,хипертоника
1417,основното,заболяване-значително
1418,заболяване-значително,изразени
1419,еритемни,лезиипо
1420,лезиипо,цялото
1421,везикулaрно,дишане
1422,Съст,след
1423,без,ех.АН
1424,ех.АН,Фр-NUM
1425,Статична,и
1426,придърпване,на
1427,Курвоазие,отр.Слезка
1428,отр.Слезка,не
1429,Шумове,не
1430,общо.Кожа,и
1431,Липства,ВШЗ.Умерено
1432,ВШЗ.Умерено,изразена
1433,б.о,Липства
1434,и-вид-лигивици-бледорозови,чисти-Афеб-NUM
1435,Cor,Ритм.сьрд.дейност
1436,състояние,Афеб
1437,Афеб,Глава
1438,RR,жив
1439,жив,Ясни
1440,и,Б.ДРОБ
1441,равни,на
1442,щит.жлеза,неув.мл.жлези
1443,сит,шум
1444,стат.Крайници,без
1445,с.д-ясни,тонове
1446,Cor,ритм.с.д-глухи
1447,ритм.с.д-глухи,тонове
1448,се,регистрира
1449,Cor,рит.сър
1450,рит.сър,дейност
1451,Без,СМРД.ЧМН
1452,СМРД.ЧМН,б.о
1453,НА,ДОСТЪПНИТЕ
1454,ДОСТЪПНИТЕ,МЕСТА
1455,ЕМОЦИОНАЛНО,ЛАБИЛНА
1456,АА,ДОРЗ
1457,ДОРЗ,ПЕДИС
1458,щтитовидна,жлеза
1459,интерфалангеални,стави
1460,и,ЛВ-бо
1461,на,аа.дорз.педис
1462,ПЛВ-НЕУВЕЛ,ГЪРЛО
1463,ОКОЛО,ГЛЕЗЕНИТЕ
1464,дв,АГ-бо
1465,АГ-бо,Мл
1466,отоци,НС-моторна
1467,НС-моторна,афазия
1468,ДС-вез.диш.СД,пр
1469,телесно,тегло
1470,сетивност-норм,К-ци
1471,локалис,перзистиращ
1472,перзистиращ,паравертебрална
1473,см,подребрена
1474,подребрена,дъга
1475,Съмнение,за
1476,видими,л-ци.Глава
1477,л-ци.Глава,и
1478,увел,ст.крайници
1479,КОРЕМ,мпнб
1480,зрит.острота,запазена
1481,б,о.Зрит
1482,СЧ,NUM.АН
1483,вез,дишаен
1484,КОЖА,Обичаен
1485,СЪРЦЕ,Норморитмична
1486,Норморитмична,сърдечна
1487,обратно,развитие
1488,с,прав.конф.Щит.жлеза
1489,IIАо,тон.Апикален
1490,тон.Апикален,сит.шум
1491,меки,еластияни
1492,еластияни,стени-неболезнен
1493,на,АДПи
1494,АДПи,ТП
1495,мус,сила
1496,аксиалния,скелет
1497,ритмична,ърдечна
1498,ърдечна,дейност
1499,б.о,СНР-ум
1500,Успоредни,очни
1501,Периферни,резистивни
1502,резистивни,и
1503,и,капацитивни
1504,капацитивни,съдове
1505,ОДА,Артроза
1506,С,ФРЕКВЕНЦИЯ
1507,ФРЕКВЕНЦИЯ,НОРМАЛНА
1508,изразени,отоци-по
1509,отоци-по,подбедрицата
1510,на,ar
1511,задов,общо
1512,ФР,Кожрем
1513,Кожрем,мек
1514,запазена,Хиперестезия
1515,тела,уробининоген
1516,уробининоген,билирубин
1517,акцентуиран,Aо
1518,Aо,II
1519,мм,Нг.Р.Корем
1520,на,пер.а.а
1521,ВЗЕМАТ,СИМЕТРИЧНО
1522,СИМЕТРИЧНО,УЧАСТИЕ
1523,гл,тироидеяа
1524,тироидеяа,б.о
1525,съответствуващ,на
1526,ЗРЕНИЕ,ок.декс
1527,ок.декс,ок.син
1528,Сърце,ритм.дей
1529,ритм.дей,ност
1530,Шепотна,реч-ЛУ-NUM
1531,реч-ЛУ-NUM,метра
1532,стени,Постоперативна
1533,Сук,рен-отр.Ч
1534,рен-отр.Ч,дроб
1535,EKG-син.ритъм,инд.поз.Без
1536,инд.поз.Без,данни
1537,ммол,л.ЕКГ
1538,л.ЕКГ,в
1539,тип,Усет
1540,Усет,за
1541,приложено,Корем
1542,с,р.мах
1543,р.мах,на
1544,г.с.т,р.г.на
1545,р.г.на,сърцето
1546,ЗА,ЛАТЕНТНИ
1547,ЖЛЕЗА,НЕУВ.ВИЗУС-NUM
1548,НЕУВ.ВИЗУС-NUM,НА
1549,магистрални,съдове-има.ОДА
1550,общо,с-е.Чисто
1551,с-е.Чисто,вез.дишане
1552,тонове,а.н-NUM
1553,а.н-NUM,фр
1554,Дисциркулаторна,енцефалопатия
1555,мин.АН,б.прест
1556,сърд.дейност,ритмична-NUM
1557,ритмична-NUM,уд
1558,без,доп.хрипове
1559,доп.хрипове,корем
1560,камертон,рефлексът
1561,рефлексът,на
1562,на,ахилесовото
1563,ахилесовото,сухожилие
1564,бъде,предизвикан
1565,предизвикан,от
1566,и,щит.жл.не
1567,мин.АКН,Хр.система-корем
1568,и,Бодкин
1569,Бодкин,Ерб
1570,акц.А,тон.Ф
1571,тон.Ф,RR
1572,дясна,ръка.НПР
1573,ръка.НПР,норма
1574,Посещава,кабинета
1575,СТОЙНОСТИ,НА
1576,известно,време
1577,корцином,на
1578,се,оперира
1579,проведените,изследвания
1580,НЕ,ИСКА
1581,Налага,се
1582,ТУ,формацияна
1583,формацияна,ляв
1584,цените,на
1585,г.по,повод
1586,от,нервност
1587,нервност,напрегнатост
1588,на,маточната
1589,маточната,шийка
1590,миокарден,инфаркт
1591,жълти,храчки
1592,вдясно,кашлица-със
1593,кашлица-със,кървави
1594,сърдечно-съдови,заболявания
1595,ПРИ,ОБИЧАЙНИ
1596,ОБИЧАЙНИ,ФИЗИЧЕСКИ
1597,ПРОФИЛАКТИЧЕН,ПРЕГЛЕД
1598,Изписва,се
1599,метастаза,в
1600,седалищния,нерв
1601,пода,на
1602,общ,х-л
1603,х-л,над
1604,хормонална,терапия
1605,гликемичен,контрол
1606,ЗД-НИЗТ,с
1607,пластика,на
1608,на,поддържащото
1609,гр,Обща
1610,главно,в
1611,феморална,артерия
1612,на,експертно
1613,експертно,решение
1614,на,отпуската
1615,отпуската,по
1616,на,д.черво
1617,две,норм.ражд
1618,норм.ражд,в
1619,Придружаващи,заболявания
1620,СЛЕД,ДЕХОСПИТАЛИЗАЦИЯ
1621,след,дехоспитализация
1622,на,подържаща
1623,в,лумбо-сакралната
1624,обилно,потене
1625,клапно,протезиране
1626,стенокардна,симптоматика
1627,подържащо,лечение
1628,ЕКГ-снижаване,на
1629,в,стандартните
1630,стандартните,отвеждания
1631,в,прекордиалните
1632,Засегнато,общо
1633,жлъчен,мехур
1634,пътища,Проходими
1635,С.с.с,ма
1636,Fr,мин.R.R
1637,стабилно,общо
1638,ясни,т-ве
1639,DO,LO
1640,ЛИЕН-НЕУВЕЛИЧЕНИ,АН
1641,а.дорз,педис
1642,за,мъж
1643,в,ляво.Пулмо
1644,КОЖА,Бледовата
1645,помощно,средство-бастун
1646,средство-бастун,ССС
1647,Задаволително,общо
1648,увеличени,SR-
1649,левокамерна,хипертрофия
1650,за,ОМС
1651,отговарящи,на
1652,къс,мезостолен
1653,мезостолен,шум
1654,бимануална,палпация
1655,КМС-нормално,развита
1656,RR,NUM-норм
1657,Периферни,съдове-норма
1658,съдове-норма,Психичен
1659,Чр.дроб,и
1660,хемороидални,възли
1661,NUM-ри,Ао-тон
1662,Ао-тон,разширени
1663,оперативната,рана.Ч
1664,рана.Ч,др.на
1665,уд,мин.Ч
1666,вид.лигавици-бл.розови,ПЛВ-нуев
1667,ПЛВ-нуев,Пер.вени
1668,НА,РАЖДАЛА
1669,АНУС,ПРЕТЕР
1670,опративен,цикатрикс
1671,големината,на
1672,Задовлително,общо
1673,добре,конфигуриран
1674,конфигуриран,без
1675,общо,с-ние.Чисто
1676,с-ние.Чисто,вез.дишане
1677,и,Ерб.АН
1678,ДРОБ,ЧВд
1679,ЧВд,СЪРЦЕ
1680,НПР-нормално,за
1681,мек,хепар-ет
1682,УРИНА,ПХ-NUM
1683,ПХ-NUM,ГЛЮК
1684,АРТЕРИАЛНИ,СЪДОВЕ-Б.О.
1685,СЪДОВЕ-Б.О.,ЕКГ
1686,везекуларно,дишане
1687,НПР-в,норма
1688,съответни,за
1689,ОТПАДНА,СИПТОМАТИКА
1690,Дихателна,система-симетричен
1691,У,РИВА
1692,РИВА,РОЧИ
1693,РОЧИ,НЯМА
1694,асцитна,течност
1695,парамалеоларни,отоци
1696,с,норм.структура
1697,норм.структура,и
1698,от,год.Корем
1699,год.Корем,мек
1700,Fr,min.Артериална
1701,min.Артериална,и
1702,апсихотичен,ориентиране
1703,ориентиране,за
1704,реп,промени
1705,КАСАЕ,СЕ
1706,Контрактура,на
1707,Пикочо-полова,система-няма
1708,система-няма,микционни
1709,в,границите
1710,границите,на
1711,по,ръбовете
1712,и,виброчувствителност
1713,виброчувствителност,на
1714,отслабени,Некротична
1715,в,ляво.Сукусио
1716,ляво.Сукусио,реналис
1717,АСТЕНИЧЕН,ХАБИТУС
1718,корекционни,очила
1719,=,Свето
1720,Свето,усещане
1721,ПАМЕТОВИ,НАРУШЕНИЯ.консултирана
1722,НАРУШЕНИЯ.консултирана,с
1723,ехокардиография,DATEгод.с
1724,DATEгод.с,невролог-DATEгод
1725,невролог-DATEгод,с
1726,общо,сьстояание
1727,сьстояание,ССС
1728,граница,Акцент
1729,без,психотични
1730,на,местата
1731,Залита,в
1732,Психоневрологичен,статус
1733,мл,жлези.Психоневрологичен
1734,жлези.Психоневрологичен,статус
1735,гръдния,окш
1736,окш,меки
1737,рит,сър.дей
1738,сър.дей,ясни
1739,на,зрението-вос
1740,зрението-вос,вод
1741,рефлеск,двустранно
1742,на,стъпални
1743,стъпални,артерии
1744,запазени,пулсации.Корем
1745,уринарен,катетър
1746,органо,мегалия
1747,РНСД,сърд.ч
1748,за,псих.отклонения
1749,мл,жл.Пулмо
1750,к,ОРЕМ
1751,резки,покачвания
1752,сърд,връх.Сърд
1753,връх.Сърд,граници-разширени
1754,лющеща,се
1755,о.Пс.състояние,добро
1756,КОЖА,бледороз
1757,неболезнена,норм.разм
1758,норм.разм,Р-NUM
1759,надлежаща,кожа
1760,НС-левостранна,хемипареза
1761,Фр,u
1762,u,m
1763,хлътване,на
1764,Пулс,тахиаритмичен
1765,тахиаритмичен,добре
1766,добре,напьлнен-около
1767,напьлнен-около,уд
1768,уд,мин.уд
1769,мин.уд,мин
1770,мек,спокоeн
1771,кош.Бял,дроб
1772,сърдечна,дейностясни
1773,Пулмо,ЧВДТ
1774,ЧВДТ,RR
1775,Хипостенен,хабитус
1776,СИСТОЛЕН,ШУМ
1777,лк,хипертрофия
1778,СРЕДНО,УВРЕДЕНО
1779,БОЛ,КА
1780,КА,В
1781,дишане-везикуларно,чито.Корем
1782,чито.Корем,мек
1783,на,аадор
1784,аадор,залис
1785,залис,педис
1786,У,Му
1787,Му,м.
1788,Д.Ч,мин
1789,пулсова,честота
1790,СЪР,ДЕЙНОСТ
1791,Огран,и
1792,Старческо,далекогледство
1793,НИСЪК,ПЕРИФЕРЕН
1794,ПЕРИФЕРЕН,ВОЛТАЖ
1795,протеин,глю
1796,глю,кетотела
1797,Плоско,стъпало
1798,ЛВ-увеличени,шийно
1799,везикуларно,дишане.Храносмилателна
1800,дишане.Храносмилателна,с-ма
1801,лиен,неув.Полова
1802,неув.Полова,с-ма
1803,обем,дих.д-я.Вез
1804,дих.д-я.Вез,дишане
1805,общо,съст.Афебрилна
1806,бледи,ЧМНб
1807,ЧМНб,о
1808,артерии,Щитвидна
1809,Щитвидна,жлеза
1810,нормално,разпол
1811,разпол,и
1812,запазена,дефикация
1813,сэстояние,Щит
1814,Пулмо,внез
1815,внез,дишане
1816,VOS-NUM,ЕКГ-СРИТ
1817,областт,хана
1818,хана,епигастриума
1819,без,варици.ВОД
1820,варици.ВОД,ет
1821,с,ние.Бледа
1822,ние.Бледа,кожа
1823,Кр,Налягане-NUM
1824,S.ren,[
1825,Визус,ок.декста
1826,ок.декста,Визус
1827,на,АФК
1828,рен,дв.Опорно
1829,дв.Опорно,двигателен
1830,акцентуиран,I-ви
1831,I-ви,тон
1832,на,арт.дорзалис
1833,арт.дорзалис,педис
1834,се,наблюдават
1835,ет,лимфадектомия
1836,без,ектопия
1837,на,вьрха
1838,и,тонус-запазени
1839,на,кръвообръщението
1840,прогресия,с.р.инд.с.ос
1841,с.р.инд.с.ос,запазена
1842,Ч.в.д,Cor
1843,изострено-вез-дишане,леко-уд-екс-без-приб-хрипове-двуст-в-двете-фази-на-дишане
1844,леко-уд-екс-без-приб-хрипове-двуст-в-двете-фази-на-дишане,Cor
1845,слабо-огран,движ-огран
1846,движ-огран,сгьване-в-д-коляно-опер-цик-спокоен
1847,и-вид.лиг,бледи
1848,чисти,без-периорбит-отоци
1849,без-поли-урия,без-полидипсия
1850,неувел,л.в.неув.Пулмо
1851,в-дясно,в-ляво-мамект-тот-цик-спокоен
1852,в-ляво-мамект-тот-цик-спокоен,Корем
1853,Крайници,об-СМРд-липсва
1854,об-СМРд-липсва,ЧМН
1855,ЧМН,без-пат-реф-кси
1856,без-пат-реф-кси,палп-болка-и-огран
1857,палп-болка-и-огран,подв-в-лумб-отдел-на-гр-стьлб
1858,подв-в-лумб-отдел-на-гр-стьлб,по-ка-аналгет-без-пом-с-без-отоци
1859,ЕКГ,запис
1860,норм,разм
1861,разм,и
1862,хипотрофия,на
1863,ч.др-на,ребрен
1864,рект,туше
1865,Д.с-ма.везикуларно,дишане
1866,л,в-б
1867,в-б,о.
1868,пулсации,вен.мрежа
1869,в,шумовата
1870,шумовата,находка
1871,Нервна,система-повърхностен
1872,система-повърхностен,и
1873,вид.лиг.розови,ПЛВ
1874,et,Lien-неувеличени
1875,ЛАМ,не
1876,на,храносмилателната
1877,храносмилателната,система
1878,сърд,дейностглуховати
1879,дейностглуховати,тонове
1880,Ч.Др,и
1881,без,oрганомегалия
1882,oрганомегалия,перисталтика
1883,ССС,РИТМ.ЛЕКО
1884,РИТМ.ЛЕКО,ТАХИКД
1885,НЕВР,СТ-ЛЕКА
1886,СТ-ЛЕКА,СТАТ.АТАКСИЯ
1887,ПО,ТИПА
1888,ТИПА,НА
1889,без,ЕS
1890,ЕS,без
1891,б.о,Гърди-спокойни
1892,ППС-бо,SR-отр
1893,запазени,пулсацци
1894,за,самоконтр
1895,Физ,Р-тие
1896,Р-тие,Нормално
1897,СДпр.ритм.Fr,мин
1898,неболезнен,Чдр
1899,ясни,тонаве
1900,генерализирано,снижени
1901,без,ортаномегалия
1902,ортаномегалия,перисталтика
1903,болезнено,навеждаве
1904,навеждаве,и
1905,Дихателна,система-б
1906,дясно,подр
1907,поведението,емоциите
1908,емоциите,мисленето
1909,мисленето,волята
1910,волята,интелекта
1911,интелекта,вниманието
1912,паметта,влеченията
1913,влеченията,съня
1914,и,съзнанието
1915,съзнанието,КОРЕМ
1916,АЛО,и
1917,и,АВТО
1918,АВТО,ориентиран
1919,в,S-T
1920,S-T,сегмента
1921,палпират,уголемени.SR
1922,уголемени.SR,двустранно
1923,за,екзо
1924,сухи,св.хрипчета
1925,св.хрипчета,двустранно
1926,от,аа.поплитее
1927,аа.поплитее,без
1928,неув.норм,псих
1929,се,палпиа
1930,NUM.АН,NUM.Корем
1931,с-ние.Контактен,ориентиран
1932,EKГв,норма
1933,и,начина
1934,начина,на
1935,НС-намалена,мускулна
1936,б.о,Млеяни
1937,Млеяни,жлези
1938,крайниците-запазени,по
1939,полиневритен,тип.Нарушен
1940,тип.Нарушен,вибрационен
1941,Сук,рен-отр.Корем
1942,НС-хипестезия,на
1943,напрегната,паравертабрална
1944,паравертабрална,мускулатура
1945,болезненост,паравертабрално
1946,паравертабрално,по
1947,лиен,неув.Сук.ренал
1948,неув.Сук.ренал,стр.ОДА
1949,лиен,неужеличен
1950,Дихателна,система-ясно
1951,първично,зоздравял
1952,зоздравял,на
1953,лични,причини-документите
1954,причини-документите,се
1955,НАЧАЛНИ,НУКЛЕОКОРТИКАЛНИ
1956,НУКЛЕОКОРТИКАЛНИ,ПОМЪТНЯВАНИЯ
1957,ПОМЪТНЯВАНИЯ,НА
1958,НА,ЛЕЩАТА
1959,мл,жл-протеза
1960,жл-протеза,корем
1961,оргамегалия,без
1962,без,органомегалоия
1963,органомегалоия,Крайници
1964,Усп,очни
1965,Сук.реналис,бил.Без
1966,бил.Без,отоци
1967,отр,кетотела-отр.рн-NUM
1968,предвижва,се
1969,на,вмидима
1970,вмидима,възраст
1971,Щитовидна,жл.ПЛВ
1972,жл.ПЛВ,б.о
1973,жл.неувеличена,с
1974,крайници,нам.муск.сила
1975,нам.муск.сила,за
1976,см,Екхимози
1977,Екхимози,по
1978,видимо,неув.Pulmo
1979,Fr,глиховати
1980,глиховати,сърдечни
1981,гр.С.Cor-Ритмична,сърдечна
1982,ДОС.ДС-вез.диш,отслабено
1983,с-е-без,отклонение
1984,дискр,отоци
1985,пер.а.а,вибр
1986,АДЕКВ,ОРИЕНТ
1987,б.о,Рефлекторна
1988,Рефлекторна,дейност
1989,І-ва,степ.Сърце
1990,степ.Сърце,ритм
1991,вен.съдове,и
1992,І-ва,ст.Сърце
1993,ст.Сърце,ритм.дейност
1994,общо,състояниа
1995,състояниа,Пулмо
1996,и,П.Л.В.не
1997,П.Л.В.не,се
1998,повишено,ВЧН
1999,ІІ,С.Т
2000,над,м.Зрение
2001,м.Зрение,очи-здрави
2002,очи-здрави,намалено
2003,реналис-отр.Ч,дроб
2004,тонове,ясни.ЕКГ
2005,ясни.ЕКГ,син
2006,и,Ерб.Хепар
2007,Ерб.Хепар,неув
2008,съдово,заболяне
2009,заболяне,на
2010,НА,ТАЛИЯТА-NUM
2011,мл,ж-за.АН
2012,пмт-умерено,изразена
2013,и,дълбо
2014,фр,м.глухи
2015,м.глухи,тонове
2016,Невролоичен,статус
2017,Succ,renal
2018,renal,отр
2019,сухожилнонадкостни,рефлекси
2020,дишане,удълженескпириум
2021,удълженескпириум,сухи
2022,с,негова
2023,негова,корекция
2024,зачервено,шнуровидно
2025,шнуровидно,уплътннение
2026,уплътннение,на
2027,на,vv.saphena
2028,vv.saphena,magna
2029,magna,et
2030,RR,P=
2031,ед,еx
2032,еx,без
2033,соr,аритмична
2034,корд,проби-норма
